sex,age,cause,country,2016,2017,2018,2019,2020,2021,2022,2023
Total,From 30 to 44 years,Use of alcohol,Ireland,,,0.0,4.0,2.0,2.0,1.0,
Females,From 45 to 64 years,Use of alcohol,Ireland,,,0.0,0.0,3.0,3.0,8.0,
Males,From 45 to 64 years,Use of alcohol,Ireland,,,0.0,3.0,9.0,7.0,5.0,
Total,From 45 to 64 years,Use of alcohol,Ireland,,,0.0,3.0,12.0,10.0,13.0,
Females,Less than 15 years,Use of alcohol,Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Males,Less than 15 years,Use of alcohol,Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Total,Less than 15 years,Use of alcohol,Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Females,Total,Use of alcohol,Ireland,6.0,7.0,1.0,4.0,6.0,6.0,14.0,
Males,Total,Use of alcohol,Ireland,14.0,9.0,20.0,16.0,20.0,15.0,16.0,
Total,Total,Use of alcohol,Ireland,20.0,16.0,21.0,20.0,26.0,21.0,30.0,
Females,65 years or over,Drug dependence,Italy,3.0,1.0,6.0,4.0,5.0,9.0,4.0,
Males,65 years or over,Drug dependence,Italy,5.0,5.0,5.0,7.0,4.0,10.0,6.0,
Total,65 years or over,Drug dependence,Italy,8.0,6.0,11.0,11.0,9.0,19.0,10.0,
Females,From 15 to 29 years,Drug dependence,Italy,3.0,2.0,3.0,0.0,1.0,2.0,2.0,
Males,From 15 to 29 years,Drug dependence,Italy,3.0,9.0,10.0,9.0,17.0,7.0,11.0,
Total,From 15 to 29 years,Drug dependence,Italy,6.0,11.0,13.0,9.0,18.0,9.0,13.0,
Females,From 30 to 44 years,Drug dependence,Italy,,,0.0,11.0,8.0,7.0,11.0,
Males,From 30 to 44 years,Drug dependence,Italy,,,0.0,37.0,26.0,40.0,35.0,
Total,From 30 to 44 years,Drug dependence,Italy,,,0.0,48.0,34.0,47.0,46.0,
Females,From 45 to 64 years,Drug dependence,Italy,,,0.0,17.0,9.0,8.0,14.0,
Males,From 45 to 64 years,Drug dependence,Italy,,,0.0,66.0,76.0,73.0,108.0,
Total,From 45 to 64 years,Drug dependence,Italy,,,0.0,83.0,85.0,81.0,122.0,
Females,Less than 15 years,Drug dependence,Italy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Males,Less than 15 years,Drug dependence,Italy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Total,Less than 15 years,Drug dependence,Italy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Females,Total,Drug dependence,Italy,14.0,17.0,25.0,32.0,23.0,26.0,31.0,
Males,Total,Drug dependence,Italy,79.0,116.0,113.0,119.0,123.0,130.0,160.0,
Total,Total,Drug dependence,Italy,93.0,133.0,138.0,151.0,146.0,156.0,191.0,
Females,65 years or over,Intentional self-harm,Italy,306.0,311.0,298.0,288.0,283.0,282.0,305.0,
Males,65 years or over,Intentional self-harm,Italy,1024.0,1082.0,1034.0,1001.0,1102.0,1130.0,1126.0,
Total,65 years or over,Intentional self-harm,Italy,1330.0,1393.0,1332.0,1289.0,1385.0,1412.0,1431.0,
Females,From 15 to 29 years,Intentional self-harm,Italy,60.0,58.0,79.0,66.0,55.0,95.0,80.0,
Males,From 15 to 29 years,Intentional self-harm,Italy,266.0,316.0,274.0,275.0,252.0,277.0,296.0,
Total,From 15 to 29 years,Intentional self-harm,Italy,326.0,374.0,353.0,341.0,307.0,372.0,376.0,
Females,From 30 to 44 years,Intentional self-harm,Italy,,,0.0,136.0,123.0,137.0,124.0,
Males,From 30 to 44 years,Intentional self-harm,Italy,,,0.0,505.0,492.0,490.0,506.0,
Total,From 30 to 44 years,Intentional self-harm,Italy,,,0.0,641.0,615.0,627.0,630.0,
Females,From 45 to 64 years,Intentional self-harm,Italy,,,0.0,330.0,328.0,311.0,328.0,
Males,From 45 to 64 years,Intentional self-harm,Italy,,,0.0,1116.0,1072.0,1115.0,1135.0,
Total,From 45 to 64 years,Intentional self-harm,Italy,,,0.0,1446.0,1400.0,1426.0,1463.0,
Females,Less than 15 years,Intentional self-harm,Italy,1.0,5.0,6.0,4.0,0.0,7.0,3.0,
Males,Less than 15 years,Intentional self-harm,Italy,9.0,7.0,5.0,4.0,5.0,8.0,3.0,
Total,Less than 15 years,Intentional self-harm,Italy,10.0,12.0,11.0,8.0,5.0,15.0,6.0,
Females,Total,Intentional self-harm,Italy,830.0,863.0,874.0,824.0,789.0,832.0,840.0,
Males,Total,Intentional self-harm,Italy,3038.0,3077.0,2914.0,2901.0,2923.0,3020.0,3066.0,
Total,Total,Intentional self-harm,Italy,3868.0,3940.0,3788.0,3725.0,3712.0,3852.0,3906.0,
Females,65 years or over,Mental and behavioural disorders,Italy,14778.0,16823.0,16905.0,17834.0,18684.0,17481.0,19496.0,0.0
Males,65 years or over,Mental and behavioural disorders,Italy,7123.0,7975.0,8127.0,8762.0,8762.0,8167.0,9069.0,0.0
Total,65 years or over,Mental and behavioural disorders,Italy,21901.0,24798.0,25032.0,26596.0,27446.0,25648.0,28565.0,0.0
Females,From 15 to 29 years,Mental and behavioural disorders,Italy,15.0,12.0,11.0,6.0,9.0,21.0,12.0,0.0
Males,From 15 to 29 years,Mental and behavioural disorders,Italy,17.0,22.0,28.0,19.0,28.0,22.0,21.0,0.0
Total,From 15 to 29 years,Mental and behavioural disorders,Italy,32.0,34.0,39.0,25.0,37.0,43.0,33.0,0.0
Females,From 30 to 44 years,Mental and behavioural disorders,Italy,0.0,0.0,0.0,53.0,46.0,54.0,59.0,0.0
Males,From 30 to 44 years,Mental and behavioural disorders,Italy,0.0,0.0,0.0,106.0,109.0,125.0,126.0,0.0
Total,From 30 to 44 years,Mental and behavioural disorders,Italy,0.0,0.0,0.0,159.0,155.0,179.0,185.0,0.0
Females,From 45 to 64 years,Mental and behavioural disorders,Italy,0.0,0.0,0.0,295.0,398.0,376.0,452.0,0.0
Males,From 45 to 64 years,Mental and behavioural disorders,Italy,0.0,0.0,0.0,595.0,767.0,759.0,901.0,0.0
Total,From 45 to 64 years,Mental and behavioural disorders,Italy,0.0,0.0,0.0,890.0,1165.0,1135.0,1353.0,0.0
Females,Less than 15 years,Mental and behavioural disorders,Italy,0.0,4.0,4.0,2.0,2.0,2.0,2.0,0.0
Males,Less than 15 years,Mental and behavioural disorders,Italy,2.0,2.0,6.0,0.0,0.0,2.0,6.0,0.0
Total,Less than 15 years,Mental and behavioural disorders,Italy,2.0,6.0,10.0,2.0,2.0,4.0,8.0,0.0
Females,Total,Mental and behavioural disorders,Italy,15115.0,17182.0,17288.0,18190.0,19139.0,17936.0,20021.0,0.0
Males,Total,Mental and behavioural disorders,Italy,7739.0,8653.0,8864.0,9483.0,9666.0,9075.0,10124.0,0.0
Total,Total,Mental and behavioural disorders,Italy,22854.0,25835.0,26152.0,27673.0,28805.0,27011.0,30145.0,0.0
Females,65 years or over,Total,Italy,294062.0,313412.0,303495.0,307743.0,355845.0,335528.0,348496.0,
Males,65 years or over,Total,Italy,252900.0,265437.0,258204.0,263691.0,313869.0,294433.0,299023.0,
Total,65 years or over,Total,Italy,546962.0,578849.0,561699.0,571434.0,669714.0,629961.0,647519.0,
Females,From 15 to 29 years,Total,Italy,759.0,729.0,692.0,636.0,624.0,688.0,659.0,
Males,From 15 to 29 years,Total,Italy,1883.0,1965.0,2021.0,1906.0,1683.0,1862.0,1947.0,
Total,From 15 to 29 years,Total,Italy,2642.0,2694.0,2713.0,2542.0,2307.0,2550.0,2606.0,
Females,From 30 to 44 years,Total,Italy,,,0.0,2578.0,2533.0,2512.0,2552.0,
Males,From 30 to 44 years,Total,Italy,,,0.0,4716.0,4826.0,4932.0,4696.0,
Total,From 30 to 44 years,Total,Italy,,,0.0,7294.0,7359.0,7444.0,7248.0,
Females,From 45 to 64 years,Total,Italy,,,0.0,22163.0,23939.0,24131.0,23365.0,
Males,From 45 to 64 years,Total,Italy,,,0.0,36255.0,41346.0,41184.0,39576.0,
Total,From 45 to 64 years,Total,Italy,,,0.0,58418.0,65285.0,65315.0,62941.0,
Females,Less than 15 years,Total,Italy,945.0,924.0,902.0,765.0,719.0,762.0,715.0,
Males,Less than 15 years,Total,Italy,1177.0,1158.0,1164.0,961.0,922.0,917.0,932.0,
Total,Less than 15 years,Total,Italy,2122.0,2082.0,2066.0,1726.0,1641.0,1679.0,1647.0,
Females,Total,Total,Italy,320418.0,340023.0,329961.0,333897.0,383662.0,363626.0,375789.0,
Males,Total,Total,Italy,297665.0,310591.0,302979.0,307559.0,362662.0,343343.0,346185.0,
Total,Total,Total,Italy,618083.0,650614.0,632940.0,641456.0,746324.0,706969.0,721974.0,
Females,65 years or over,Use of alcohol,Italy,18.0,25.0,23.0,24.0,25.0,29.0,21.0,
Males,65 years or over,Use of alcohol,Italy,101.0,77.0,104.0,98.0,84.0,102.0,114.0,
Total,65 years or over,Use of alcohol,Italy,119.0,102.0,127.0,122.0,109.0,131.0,135.0,
Females,From 15 to 29 years,Use of alcohol,Italy,0.0,0.0,0.0,2.0,0.0,1.0,0.0,
Males,From 15 to 29 years,Use of alcohol,Italy,4.0,1.0,0.0,2.0,1.0,3.0,0.0,
Total,From 15 to 29 years,Use of alcohol,Italy,4.0,1.0,0.0,4.0,1.0,4.0,0.0,
Females,From 30 to 44 years,Use of alcohol,Italy,,,0.0,3.0,0.0,2.0,2.0,
Males,From 30 to 44 years,Use of alcohol,Italy,,,0.0,13.0,27.0,29.0,22.0,
Total,From 30 to 44 years,Use of alcohol,Italy,,,0.0,16.0,27.0,31.0,24.0,
Females,From 45 to 64 years,Use of alcohol,Italy,,,0.0,19.0,23.0,23.0,21.0,
Males,From 45 to 64 years,Use of alcohol,Italy,,,0.0,90.0,109.0,143.0,115.0,
Total,From 45 to 64 years,Use of alcohol,Italy,,,0.0,109.0,132.0,166.0,136.0,
Females,Less than 15 years,Use of alcohol,Italy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Males,Less than 15 years,Use of alcohol,Italy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Total,Less than 15 years,Use of alcohol,Italy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Females,Total,Use of alcohol,Italy,43.0,40.0,45.0,48.0,48.0,55.0,44.0,
Males,Total,Use of alcohol,Italy,205.0,179.0,220.0,204.0,221.0,277.0,252.0,
Total,Total,Use of alcohol,Italy,248.0,219.0,265.0,252.0,269.0,332.0,296.0,
Females,65 years or over,Drug dependence,Latvia,,0.0,0.0,0.0,0.0,0.0,,
Males,65 years or over,Drug dependence,Latvia,0.0,0.0,0.0,0.0,0.0,0.0,,
Total,65 years or over,Drug dependence,Latvia,0.0,0.0,0.0,0.0,0.0,0.0,,
Females,From 15 to 29 years,Drug dependence,Latvia,,0.0,0.0,0.0,0.0,0.0,,
Males,From 15 to 29 years,Drug dependence,Latvia,0.0,0.0,0.0,0.0,0.0,1.0,,
Total,From 15 to 29 years,Drug dependence,Latvia,0.0,0.0,0.0,0.0,0.0,1.0,,
Females,From 30 to 44 years,Drug dependence,Latvia,,,0.0,0.0,0.0,1.0,,
Males,From 30 to 44 years,Drug dependence,Latvia,,,0.0,0.0,3.0,2.0,,
Total,From 30 to 44 years,Drug dependence,Latvia,,,0.0,0.0,3.0,3.0,,
Females,From 45 to 64 years,Drug dependence,Latvia,,,0.0,0.0,0.0,0.0,,
Males,From 45 to 64 years,Drug dependence,Latvia,,,0.0,0.0,1.0,0.0,,
Total,From 45 to 64 years,Drug dependence,Latvia,,,0.0,0.0,1.0,0.0,,
Females,Less than 15 years,Drug dependence,Latvia,,0.0,0.0,0.0,0.0,0.0,,
Males,Less than 15 years,Drug dependence,Latvia,0.0,0.0,0.0,0.0,0.0,0.0,,
Total,Less than 15 years,Drug dependence,Latvia,0.0,0.0,0.0,0.0,0.0,0.0,,
Females,Total,Drug dependence,Latvia,,0.0,1.0,1.0,0.0,1.0,,
Males,Total,Drug dependence,Latvia,2.0,1.0,2.0,2.0,4.0,3.0,,
Total,Total,Drug dependence,Latvia,2.0,1.0,3.0,3.0,4.0,4.0,,
Females,65 years or over,Intentional self-harm,Latvia,35.0,36.0,20.0,26.0,22.0,23.0,,
Males,65 years or over,Intentional self-harm,Latvia,60.0,55.0,61.0,38.0,63.0,52.0,,
Total,65 years or over,Intentional self-harm,Latvia,95.0,91.0,81.0,64.0,85.0,75.0,,
Females,From 15 to 29 years,Intentional self-harm,Latvia,6.0,5.0,2.0,6.0,3.0,4.0,,
Males,From 15 to 29 years,Intentional self-harm,Latvia,44.0,39.0,31.0,34.0,36.0,19.0,,
Total,From 15 to 29 years,Intentional self-harm,Latvia,50.0,44.0,33.0,40.0,39.0,23.0,,
Females,From 30 to 44 years,Intentional self-harm,Latvia,,,0.0,0.0,9.0,4.0,,
Males,From 30 to 44 years,Intentional self-harm,Latvia,,,0.0,0.0,61.0,59.0,,
Total,From 30 to 44 years,Intentional self-harm,Latvia,,,0.0,0.0,70.0,63.0,,
Females,From 45 to 64 years,Intentional self-harm,Latvia,,,0.0,0.0,18.0,9.0,,
Males,From 45 to 64 years,Intentional self-harm,Latvia,,,0.0,0.0,87.0,83.0,,
Total,From 45 to 64 years,Intentional self-harm,Latvia,,,0.0,0.0,105.0,92.0,,
Females,Less than 15 years,Intentional self-harm,Latvia,2.0,0.0,0.0,0.0,0.0,0.0,,
Males,Less than 15 years,Intentional self-harm,Latvia,0.0,0.0,0.0,0.0,0.0,1.0,,
Total,Less than 15 years,Intentional self-harm,Latvia,2.0,0.0,0.0,0.0,0.0,1.0,,
Females,Total,Intentional self-harm,Latvia,77.0,70.0,38.0,62.0,52.0,40.0,,
Males,Total,Intentional self-harm,Latvia,288.0,285.0,262.0,226.0,247.0,214.0,,
Total,Total,Intentional self-harm,Latvia,365.0,355.0,300.0,288.0,299.0,254.0,,
Females,65 years or over,Mental and behavioural disorders,Latvia,245.0,297.0,344.0,340.0,395.0,418.0,0.0,0.0
Males,65 years or over,Mental and behavioural disorders,Latvia,116.0,132.0,162.0,160.0,180.0,213.0,0.0,0.0
Total,65 years or over,Mental and behavioural disorders,Latvia,361.0,429.0,506.0,500.0,575.0,631.0,0.0,0.0
Females,From 15 to 29 years,Mental and behavioural disorders,Latvia,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
Males,From 15 to 29 years,Mental and behavioural disorders,Latvia,5.0,2.0,3.0,2.0,5.0,8.0,0.0,0.0
Total,From 15 to 29 years,Mental and behavioural disorders,Latvia,5.0,2.0,3.0,2.0,7.0,9.0,0.0,0.0
Females,From 30 to 44 years,Mental and behavioural disorders,Latvia,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0
Males,From 30 to 44 years,Mental and behavioural disorders,Latvia,0.0,0.0,0.0,0.0,14.0,24.0,0.0,0.0
Total,From 30 to 44 years,Mental and behavioural disorders,Latvia,0.0,0.0,0.0,0.0,19.0,27.0,0.0,0.0
Females,From 45 to 64 years,Mental and behavioural disorders,Latvia,0.0,0.0,0.0,0.0,24.0,35.0,0.0,0.0
Males,From 45 to 64 years,Mental and behavioural disorders,Latvia,0.0,0.0,0.0,0.0,92.0,126.0,0.0,0.0
Total,From 45 to 64 years,Mental and behavioural disorders,Latvia,0.0,0.0,0.0,0.0,116.0,161.0,0.0,0.0
Females,Less than 15 years,Mental and behavioural disorders,Latvia,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Males,Less than 15 years,Mental and behavioural disorders,Latvia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,Less than 15 years,Mental and behavioural disorders,Latvia,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Females,Total,Mental and behavioural disorders,Latvia,261.0,310.0,382.0,358.0,426.0,457.0,0.0,0.0
Males,Total,Mental and behavioural disorders,Latvia,202.0,234.0,265.0,236.0,291.0,371.0,0.0,0.0
Total,Total,Mental and behavioural disorders,Latvia,463.0,544.0,647.0,594.0,717.0,828.0,0.0,0.0
Females,65 years or over,Total,Latvia,12976.0,13154.0,13218.0,12781.0,13438.0,16019.0,,
Males,65 years or over,Total,Latvia,8689.0,8766.0,8773.0,8604.0,9049.0,10676.0,,
Total,65 years or over,Total,Latvia,21665.0,21920.0,21991.0,21385.0,22487.0,26695.0,,
Females,From 15 to 29 years,Total,Latvia,63.0,63.0,48.0,60.0,41.0,47.0,,
Males,From 15 to 29 years,Total,Latvia,230.0,198.0,165.0,169.0,142.0,146.0,,
Total,From 15 to 29 years,Total,Latvia,293.0,261.0,213.0,229.0,183.0,193.0,,
Females,From 30 to 44 years,Total,Latvia,,,0.0,0.0,218.0,259.0,,
Males,From 30 to 44 years,Total,Latvia,,,0.0,0.0,628.0,800.0,,
Total,From 30 to 44 years,Total,Latvia,,,0.0,0.0,846.0,1059.0,,
Females,From 45 to 64 years,Total,Latvia,,,0.0,0.0,1545.0,1929.0,,
Males,From 45 to 64 years,Total,Latvia,,,0.0,0.0,3463.0,4343.0,,
Total,From 45 to 64 years,Total,Latvia,,,0.0,0.0,5008.0,6272.0,,
Females,Less than 15 years,Total,Latvia,67.0,52.0,44.0,49.0,44.0,27.0,,
Males,Less than 15 years,Total,Latvia,62.0,84.0,61.0,50.0,60.0,46.0,,
Total,Less than 15 years,Total,Latvia,129.0,136.0,105.0,99.0,104.0,73.0,,
Females,Total,Total,Latvia,14935.0,15063.0,15174.0,14666.0,15286.0,18281.0,,
Males,Total,Total,Latvia,13328.0,13467.0,13402.0,12870.0,13342.0,16011.0,,
Total,Total,Total,Latvia,28263.0,28530.0,28576.0,27536.0,28628.0,34292.0,,
Females,65 years or over,Use of alcohol,Latvia,7.0,8.0,7.0,8.0,5.0,25.0,,
Males,65 years or over,Use of alcohol,Latvia,25.0,21.0,26.0,22.0,24.0,62.0,,
Total,65 years or over,Use of alcohol,Latvia,32.0,29.0,33.0,30.0,29.0,87.0,,
Females,From 15 to 29 years,Use of alcohol,Latvia,0.0,0.0,0.0,0.0,0.0,1.0,,
Males,From 15 to 29 years,Use of alcohol,Latvia,3.0,2.0,1.0,0.0,1.0,3.0,,
Total,From 15 to 29 years,Use of alcohol,Latvia,3.0,2.0,1.0,0.0,1.0,4.0,,
Females,From 30 to 44 years,Use of alcohol,Latvia,,,0.0,0.0,3.0,2.0,,
Males,From 30 to 44 years,Use of alcohol,Latvia,,,0.0,0.0,7.0,18.0,,
Total,From 30 to 44 years,Use of alcohol,Latvia,,,0.0,0.0,10.0,20.0,,
Females,From 45 to 64 years,Use of alcohol,Latvia,,,0.0,0.0,14.0,23.0,,
Males,From 45 to 64 years,Use of alcohol,Latvia,,,0.0,0.0,67.0,101.0,,
Total,From 45 to 64 years,Use of alcohol,Latvia,,,0.0,0.0,81.0,124.0,,
Females,Less than 15 years,Use of alcohol,Latvia,0.0,0.0,0.0,0.0,0.0,0.0,,
Males,Less than 15 years,Use of alcohol,Latvia,0.0,0.0,0.0,0.0,0.0,0.0,,
Total,Less than 15 years,Use of alcohol,Latvia,0.0,0.0,0.0,0.0,0.0,0.0,,
Females,Total,Use of alcohol,Latvia,16.0,19.0,21.0,17.0,22.0,51.0,,
Males,Total,Use of alcohol,Latvia,96.0,107.0,109.0,71.0,99.0,184.0,,
Total,Total,Use of alcohol,Latvia,112.0,126.0,130.0,88.0,121.0,235.0,,
Females,65 years or over,Drug dependence,Liechtenstein,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Males,65 years or over,Drug dependence,Liechtenstein,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,65 years or over,Drug dependence,Liechtenstein,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Females,From 15 to 29 years,Drug dependence,Liechtenstein,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Males,From 15 to 29 years,Drug dependence,Liechtenstein,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Total,From 15 to 29 years,Drug dependence,Liechtenstein,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Females,From 30 to 44 years,Drug dependence,Liechtenstein,,,0.0,0.0,0.0,0.0,0.0,0.0
Males,From 30 to 44 years,Drug dependence,Liechtenstein,,,0.0,0.0,0.0,0.0,0.0,1.0
Total,From 30 to 44 years,Drug dependence,Liechtenstein,,,0.0,0.0,0.0,0.0,0.0,1.0
Females,From 45 to 64 years,Drug dependence,Liechtenstein,,,0.0,0.0,0.0,1.0,0.0,0.0
Males,From 45 to 64 years,Drug dependence,Liechtenstein,,,0.0,0.0,0.0,0.0,0.0,0.0
Total,From 45 to 64 years,Drug dependence,Liechtenstein,,,0.0,0.0,0.0,1.0,0.0,0.0
Females,Less than 15 years,Drug dependence,Liechtenstein,,,0.0,0.0,,0.0,0.0,0.0
Males,Less than 15 years,Drug dependence,Liechtenstein,,,0.0,0.0,,0.0,0.0,0.0
Total,Less than 15 years,Drug dependence,Liechtenstein,,,0.0,0.0,,0.0,0.0,0.0
Females,Total,Drug dependence,Liechtenstein,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Males,Total,Drug dependence,Liechtenstein,,0.0,1.0,1.0,0.0,1.0,0.0,1.0
Total,Total,Drug dependence,Liechtenstein,,0.0,1.0,1.0,0.0,2.0,0.0,1.0
Females,65 years or over,Intentional self-harm,Liechtenstein,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Males,65 years or over,Intentional self-harm,Liechtenstein,2.0,0.0,2.0,3.0,2.0,1.0,0.0,0.0
Total,65 years or over,Intentional self-harm,Liechtenstein,2.0,0.0,2.0,4.0,3.0,1.0,0.0,0.0
Females,From 15 to 29 years,Intentional self-harm,Liechtenstein,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Males,From 15 to 29 years,Intentional self-harm,Liechtenstein,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Total,From 15 to 29 years,Intentional self-harm,Liechtenstein,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Females,From 30 to 44 years,Intentional self-harm,Liechtenstein,,,0.0,0.0,0.0,0.0,0.0,0.0
Males,From 30 to 44 years,Intentional self-harm,Liechtenstein,,,0.0,0.0,0.0,0.0,0.0,1.0
Total,From 30 to 44 years,Intentional self-harm,Liechtenstein,,,0.0,0.0,0.0,0.0,0.0,1.0
Females,From 45 to 64 years,Intentional self-harm,Liechtenstein,,,0.0,0.0,1.0,0.0,1.0,0.0
Males,From 45 to 64 years,Intentional self-harm,Liechtenstein,,,0.0,0.0,0.0,0.0,0.0,0.0
Total,From 45 to 64 years,Intentional self-harm,Liechtenstein,,,0.0,0.0,1.0,0.0,1.0,0.0
Females,Less than 15 years,Intentional self-harm,Liechtenstein,,,0.0,0.0,,0.0,0.0,0.0
Males,Less than 15 years,Intentional self-harm,Liechtenstein,,,0.0,0.0,,0.0,0.0,0.0
Total,Less than 15 years,Intentional self-harm,Liechtenstein,,,0.0,0.0,,0.0,0.0,0.0
Females,Total,Intentional self-harm,Liechtenstein,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0
Males,Total,Intentional self-harm,Liechtenstein,2.0,6.0,4.0,7.0,3.0,1.0,0.0,1.0
Total,Total,Intentional self-harm,Liechtenstein,3.0,6.0,4.0,8.0,5.0,1.0,1.0,1.0
Females,65 years or over,Mental and behavioural disorders,Liechtenstein,1.0,1.0,3.0,1.0,11.0,12.0,10.0,13.0
Males,65 years or over,Mental and behavioural disorders,Liechtenstein,2.0,0.0,2.0,0.0,6.0,4.0,5.0,6.0
Total,65 years or over,Mental and behavioural disorders,Liechtenstein,3.0,1.0,5.0,1.0,17.0,16.0,15.0,19.0
Females,From 15 to 29 years,Mental and behavioural disorders,Liechtenstein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Males,From 15 to 29 years,Mental and behavioural disorders,Liechtenstein,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Total,From 15 to 29 years,Mental and behavioural disorders,Liechtenstein,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Females,From 30 to 44 years,Mental and behavioural disorders,Liechtenstein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Males,From 30 to 44 years,Mental and behavioural disorders,Liechtenstein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Total,From 30 to 44 years,Mental and behavioural disorders,Liechtenstein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Females,From 45 to 64 years,Mental and behavioural disorders,Liechtenstein,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Males,From 45 to 64 years,Mental and behavioural disorders,Liechtenstein,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Total,From 45 to 64 years,Mental and behavioural disorders,Liechtenstein,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Females,Less than 15 years,Mental and behavioural disorders,Liechtenstein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Males,Less than 15 years,Mental and behavioural disorders,Liechtenstein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,Less than 15 years,Mental and behavioural disorders,Liechtenstein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Females,Total,Mental and behavioural disorders,Liechtenstein,3.0,1.0,3.0,1.0,11.0,14.0,10.0,13.0
Males,Total,Mental and behavioural disorders,Liechtenstein,2.0,0.0,3.0,1.0,6.0,6.0,5.0,8.0
Total,Total,Mental and behavioural disorders,Liechtenstein,5.0,1.0,6.0,2.0,17.0,20.0,15.0,21.0
Females,65 years or over,Total,Liechtenstein,78.0,89.0,91.0,80.0,103.0,82.0,93.0,69.0
Males,65 years or over,Total,Liechtenstein,87.0,57.0,70.0,68.0,84.0,56.0,63.0,66.0
Total,65 years or over,Total,Liechtenstein,165.0,146.0,161.0,148.0,187.0,138.0,156.0,135.0
Females,From 15 to 29 years,Total,Liechtenstein,,,,,,,0.0,
Males,From 15 to 29 years,Total,Liechtenstein,,,,,,,0.0,
Total,From 15 to 29 years,Total,Liechtenstein,,,,,,,0.0,
Females,From 30 to 44 years,Total,Liechtenstein,,,0.0,0.0,0.0,,0.0,0.0
Males,From 30 to 44 years,Total,Liechtenstein,,,0.0,0.0,0.0,,,5.0
Total,From 30 to 44 years,Total,Liechtenstein,,,0.0,0.0,0.0,,,5.0
Females,From 45 to 64 years,Total,Liechtenstein,,,0.0,0.0,8.0,10.0,5.0,
Males,From 45 to 64 years,Total,Liechtenstein,,,0.0,0.0,9.0,14.0,12.0,
Total,From 45 to 64 years,Total,Liechtenstein,,,0.0,0.0,17.0,24.0,17.0,7.0
Females,Less than 15 years,Total,Liechtenstein,,,0.0,0.0,,0.0,0.0,0.0
Males,Less than 15 years,Total,Liechtenstein,,,0.0,0.0,,0.0,0.0,0.0
Total,Less than 15 years,Total,Liechtenstein,,,0.0,0.0,,0.0,0.0,0.0
Females,Total,Total,Liechtenstein,94.0,97.0,96.0,86.0,111.0,92.0,98.0,70.0
Males,Total,Total,Liechtenstein,98.0,75.0,81.0,83.0,94.0,73.0,77.0,78.0
Total,Total,Total,Liechtenstein,192.0,172.0,177.0,169.0,205.0,165.0,175.0,148.0
Females,65 years or over,Use of alcohol,Liechtenstein,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Males,65 years or over,Use of alcohol,Liechtenstein,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Total,65 years or over,Use of alcohol,Liechtenstein,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Females,From 15 to 29 years,Use of alcohol,Liechtenstein,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Males,From 15 to 29 years,Use of alcohol,Liechtenstein,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,From 15 to 29 years,Use of alcohol,Liechtenstein,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
