age,sex,level,country,2016,2017,2018,2019,2020,2021,2022
From 40 to 44 years,Females,Short-cycle tertiary education,Bulgaria,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education,Switzerland,256.0,250.0,288.0,246.0,241.0,241.0,254.0
From 40 to 44 years,Females,Short-cycle tertiary education,Cyprus,13.0,14.0,20.0,24.0,35.0,38.0,27.0
From 40 to 44 years,Females,Short-cycle tertiary education,Czechia,10.0,10.0,9.0,6.0,7.0,5.0,1.0
From 40 to 44 years,Females,Short-cycle tertiary education,Germany,12.0,15.0,11.0,257.0,240.0,270.0,270.0
From 40 to 44 years,Females,Short-cycle tertiary education,Denmark,856.0,955.0,885.0,939.0,934.0,834.0,879.0
From 40 to 44 years,Females,Short-cycle tertiary education,Estonia,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education,Greece,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education,Spain,6778.0,7000.0,8454.0,9388.0,11168.0,12906.0,15112.0
From 40 to 44 years,Females,Short-cycle tertiary education,European Union,15353.0,16595.0,16239.0,17877.0,20143.0,22489.0,24872.0
From 40 to 44 years,Females,Short-cycle tertiary education,Finland,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education,France,1778.0,1938.0,1398.0,1382.0,1479.0,1366.0,1256.0
From 40 to 44 years,Females,Short-cycle tertiary education,Croatia,0.0,1.0,0.0,0.0,0.0,0.0,0.0
From 40 to 44 years,Females,Short-cycle tertiary education,Hungary,199.0,266.0,231.0,168.0,161.0,191.0,217.0
From 40 to 44 years,Females,Short-cycle tertiary education,Ireland,644.0,1107.0,988.0,1312.0,1464.0,1546.0,1428.0
From 40 to 44 years,Females,Short-cycle tertiary education,Iceland,21.0,17.0,11.0,25.0,45.0,56.0,46.0
From 40 to 44 years,Females,Short-cycle tertiary education,Italy,57.0,68.0,106.0,110.0,113.0,151.0,213.0
From 40 to 44 years,Females,Short-cycle tertiary education,Liechtenstein,,,,0.0,0.0,0.0,0.0
From 40 to 44 years,Females,Short-cycle tertiary education,Lithuania,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education,Luxembourg,2.0,0.0,0.0,0.0,0.0,0.0,2.0
From 40 to 44 years,Females,Short-cycle tertiary education,Latvia,475.0,556.0,652.0,667.0,713.0,744.0,793.0
From 40 to 44 years,Females,Short-cycle tertiary education,Montenegro,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education,North Macedonia,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education,Malta,79.0,82.0,127.0,131.0,140.0,193.0,168.0
From 40 to 44 years,Females,Short-cycle tertiary education,Netherlands,1108.0,1301.0,138.0,186.0,247.0,298.0,378.0
From 40 to 44 years,Females,Short-cycle tertiary education,Norway,37.0,39.0,35.0,50.0,73.0,82.0,104.0
From 40 to 44 years,Females,Short-cycle tertiary education,Poland,19.0,18.0,22.0,20.0,18.0,41.0,91.0
From 40 to 44 years,Females,Short-cycle tertiary education,Portugal,42.0,61.0,82.0,91.0,93.0,118.0,134.0
From 40 to 44 years,Females,Short-cycle tertiary education,Romania,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education,Serbia,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education,Sweden,888.0,934.0,1010.0,1086.0,1309.0,1488.0,1562.0
From 40 to 44 years,Females,Short-cycle tertiary education,Slovenia,114.0,130.0,127.0,174.0,202.0,204.0,231.0
From 40 to 44 years,Females,Short-cycle tertiary education,Slovakia,61.0,80.0,96.0,110.0,138.0,152.0,107.0
From 40 to 44 years,Females,Short-cycle tertiary education,Turkey,34877.0,41449.0,53232.0,64591.0,77259.0,85785.0,94611.0
From 40 to 44 years,Females,Short-cycle tertiary education,United Kingdom,16439.0,16513.0,15717.0,18329.0,,,
From 40 to 44 years,Females,Tertiary education (levels 5-8),Albania,,,,,,,
From 40 to 44 years,Females,Tertiary education (levels 5-8),Austria,6676.0,6521.0,6149.0,6130.0,6292.0,6861.0,7283.0
From 40 to 44 years,Females,Tertiary education (levels 5-8),Bosnia and Herzegovina,,,797.0,808.0,864.0,914.0,975.0
From 40 to 44 years,Females,Tertiary education (levels 5-8),Belgium,3953.0,3970.0,3791.0,3831.0,3655.0,4282.0,4528.0
From 40 to 44 years,Females,Tertiary education (levels 5-8),Bulgaria,4782.0,5243.0,5472.0,5678.0,5937.0,6484.0,6924.0
From 40 to 44 years,Females,Tertiary education (levels 5-8),Switzerland,4447.0,4506.0,4654.0,4804.0,5091.0,5408.0,5765.0
From 40 to 44 years,Females,Tertiary education (levels 5-8),Cyprus,1070.0,1209.0,1255.0,1269.0,1425.0,1755.0,1672.0
From 40 to 44 years,Females,Tertiary education (levels 5-8),Czechia,6774.0,6500.0,6958.0,6836.0,6678.0,6377.0,6602.0
From 40 to 44 years,Females,Tertiary education (levels 5-8),Germany,22391.0,23128.0,24593.0,28808.0,36449.0,41031.0,45104.0
From 40 to 44 years,Females,Tertiary education (levels 5-8),Denmark,8227.0,8297.0,7896.0,7592.0,7347.0,6662.0,6846.0
From 40 to 44 years,Females,Tertiary education (levels 5-8),Estonia,1412.0,1358.0,1375.0,1464.0,1557.0,1608.0,1554.0
From 40 to 44 years,Females,Tertiary education (levels 5-8),Greece,13535.0,16147.0,16245.0,17935.0,17536.0,19825.0,21234.0
From 40 to 44 years,Females,Tertiary education (levels 5-8),Spain,33934.0,35142.0,37407.0,39680.0,42209.0,46153.0,49271.0
From 40 to 44 years,Females,Tertiary education (levels 5-8),European Union,222438.0,230808.0,240126.0,253178.0,268689.0,283668.0,297604.0
From 40 to 44 years,Females,Tertiary education (levels 5-8),Finland,8248.0,8786.0,9328.0,9834.0,10283.0,10787.0,11437.0
From 40 to 44 years,Females,Tertiary education (levels 5-8),France,18059.0,18184.0,20999.0,20221.0,20416.0,19942.0,20562.0
From 40 to 44 years,Females,Tertiary education (levels 5-8),Croatia,1450.0,1481.0,1716.0,1735.0,1745.0,1726.0,1824.0
From 40 to 44 years,Females,Tertiary education (levels 5-8),Hungary,7165.0,6759.0,6822.0,7426.0,7375.0,7360.0,7590.0
From 40 to 44 years,Females,Tertiary education (levels 5-8),Ireland,3765.0,4272.0,4171.0,4783.0,5122.0,5685.0,5621.0
From 40 to 44 years,Females,Tertiary education (levels 5-8),Iceland,809.0,749.0,695.0,747.0,787.0,995.0,1025.0
From 40 to 44 years,Females,Tertiary education (levels 5-8),Italy,18929.0,19191.0,21201.0,22679.0,26689.0,26036.0,27010.0
From 40 to 44 years,Females,Tertiary education (levels 5-8),Liechtenstein,7.0,5.0,6.0,8.0,9.0,8.0,12.0
From 40 to 44 years,Females,Tertiary education (levels 5-8),Lithuania,1605.0,1544.0,1547.0,1787.0,1836.0,1976.0,2057.0
From 40 to 44 years,Females,Tertiary education (levels 5-8),Luxembourg,92.0,87.0,107.0,105.0,125.0,130.0,152.0
From 40 to 44 years,Females,Tertiary education (levels 5-8),Latvia,1642.0,1826.0,1973.0,1976.0,2113.0,2245.0,2290.0
From 40 to 44 years,Females,Tertiary education (levels 5-8),Montenegro,,,117.0,111.0,146.0,162.0,
From 40 to 44 years,Females,Tertiary education (levels 5-8),North Macedonia,566.0,570.0,532.0,406.0,570.0,599.0,682.0
From 40 to 44 years,Females,Tertiary education (levels 5-8),Malta,225.0,303.0,380.0,421.0,475.0,596.0,581.0
From 40 to 44 years,Females,Tertiary education (levels 5-8),Netherlands,10936.0,12476.0,10680.0,12005.0,12266.0,12702.0,
From 40 to 44 years,Females,Tertiary education (levels 5-8),Norway,10206.0,10343.0,10253.0,10062.0,10098.0,10527.0,11173.0
From 40 to 44 years,Females,Tertiary education (levels 5-8),Poland,21868.0,22667.0,24895.0,25341.0,23727.0,23500.0,25791.0
From 40 to 44 years,Females,Tertiary education (levels 5-8),Portugal,5067.0,5046.0,5142.0,5705.0,6199.0,6676.0,6944.0
From 40 to 44 years,Females,Tertiary education (levels 5-8),Romania,,,,,,,11000.0
From 40 to 44 years,Females,Tertiary education (levels 5-8),Serbia,1903.0,2053.0,2098.0,2089.0,2008.0,2194.0,2481.0
From 40 to 44 years,Females,Tertiary education (levels 5-8),Sweden,15559.0,15619.0,15630.0,15271.0,16483.0,18308.0,18498.0
From 40 to 44 years,Females,Tertiary education (levels 5-8),Slovenia,797.0,903.0,960.0,1078.0,1096.0,1247.0,1226.0
From 40 to 44 years,Females,Tertiary education (levels 5-8),Slovakia,4278.0,4150.0,3435.0,3589.0,3654.0,3714.0,4003.0
From 40 to 44 years,Females,Tertiary education (levels 5-8),Turkey,80566.0,96918.0,117046.0,141974.0,164379.0,187855.0,206372.0
From 40 to 44 years,Females,Tertiary education (levels 5-8),United Kingdom,56470.0,56808.0,55617.0,61261.0,,,
From 40 to 44 years,Females,Short-cycle tertiary education - general/academic,Albania,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education - general/academic,Austria,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education - general/academic,Bosnia and Herzegovina,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education - general/academic,Belgium,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education - general/academic,Bulgaria,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education - general/academic,Switzerland,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education - general/academic,Cyprus,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education - general/academic,Czechia,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education - general/academic,Germany,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education - general/academic,Denmark,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education - general/academic,Estonia,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education - general/academic,Greece,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education - general/academic,Spain,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education - general/academic,European Union,131.0,109.0,111.0,120.0,165.0,186.0,155.0
From 40 to 44 years,Females,Short-cycle tertiary education - general/academic,Finland,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education - general/academic,France,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education - general/academic,Croatia,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education - general/academic,Hungary,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education - general/academic,Ireland,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education - general/academic,Iceland,10.0,10.0,8.0,20.0,38.0,41.0,26.0
From 40 to 44 years,Females,Short-cycle tertiary education - general/academic,Italy,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education - general/academic,Liechtenstein,,,,0.0,0.0,0.0,0.0
From 40 to 44 years,Females,Short-cycle tertiary education - general/academic,Lithuania,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education - general/academic,Luxembourg,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education - general/academic,Latvia,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education - general/academic,Montenegro,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education - general/academic,North Macedonia,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education - general/academic,Malta,44.0,36.0,53.0,49.0,71.0,99.0,84.0
From 40 to 44 years,Females,Short-cycle tertiary education - general/academic,Netherlands,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education - general/academic,Norway,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education - general/academic,Poland,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education - general/academic,Portugal,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education - general/academic,Romania,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education - general/academic,Serbia,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education - general/academic,Sweden,87.0,73.0,58.0,72.0,94.0,87.0,71.0
From 40 to 44 years,Females,Short-cycle tertiary education - general/academic,Slovenia,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education - general/academic,Slovakia,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education - general/academic,Turkey,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education - general/academic,United Kingdom,10700.0,9409.0,8350.0,9017.0,,,
From 40 to 44 years,Females,Short-cycle tertiary education - vocational/professional,Albania,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education - vocational/professional,Austria,1180.0,1143.0,1061.0,1027.0,1065.0,1164.0,1200.0
From 40 to 44 years,Females,Short-cycle tertiary education - vocational/professional,Bosnia and Herzegovina,,,,,,,0.0
From 40 to 44 years,Females,Short-cycle tertiary education - vocational/professional,Belgium,1038.0,918.0,823.0,799.0,616.0,780.0,803.0
From 40 to 44 years,Females,Short-cycle tertiary education - vocational/professional,Bulgaria,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education - vocational/professional,Switzerland,256.0,250.0,288.0,246.0,241.0,241.0,254.0
From 40 to 44 years,Females,Short-cycle tertiary education - vocational/professional,Cyprus,13.0,14.0,20.0,24.0,35.0,38.0,27.0
From 40 to 44 years,Females,Short-cycle tertiary education - vocational/professional,Czechia,10.0,10.0,9.0,6.0,7.0,5.0,1.0
From 40 to 44 years,Females,Short-cycle tertiary education - vocational/professional,Germany,12.0,15.0,11.0,257.0,240.0,270.0,270.0
From 40 to 44 years,Females,Short-cycle tertiary education - vocational/professional,Denmark,856.0,955.0,885.0,939.0,934.0,834.0,879.0
From 40 to 44 years,Females,Short-cycle tertiary education - vocational/professional,Estonia,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education - vocational/professional,Greece,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education - vocational/professional,Spain,6778.0,7000.0,8454.0,9388.0,11168.0,12906.0,15112.0
From 40 to 44 years,Females,Short-cycle tertiary education - vocational/professional,European Union,14578.0,15379.0,15140.0,16444.0,18513.0,20757.0,23289.0
From 40 to 44 years,Females,Short-cycle tertiary education - vocational/professional,Finland,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education - vocational/professional,France,1778.0,1938.0,1398.0,1382.0,1479.0,1366.0,1256.0
From 40 to 44 years,Females,Short-cycle tertiary education - vocational/professional,Croatia,0.0,1.0,0.0,0.0,0.0,0.0,0.0
From 40 to 44 years,Females,Short-cycle tertiary education - vocational/professional,Hungary,199.0,266.0,231.0,168.0,161.0,191.0,217.0
From 40 to 44 years,Females,Short-cycle tertiary education - vocational/professional,Ireland,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education - vocational/professional,Iceland,11.0,7.0,3.0,5.0,7.0,15.0,20.0
From 40 to 44 years,Females,Short-cycle tertiary education - vocational/professional,Italy,57.0,68.0,106.0,110.0,113.0,151.0,213.0
From 40 to 44 years,Females,Short-cycle tertiary education - vocational/professional,Liechtenstein,,,,0.0,0.0,0.0,0.0
From 40 to 44 years,Females,Short-cycle tertiary education - vocational/professional,Lithuania,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education - vocational/professional,Luxembourg,2.0,0.0,0.0,0.0,0.0,0.0,2.0
From 40 to 44 years,Females,Short-cycle tertiary education - vocational/professional,Latvia,475.0,556.0,652.0,667.0,713.0,744.0,793.0
From 40 to 44 years,Females,Short-cycle tertiary education - vocational/professional,Montenegro,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education - vocational/professional,North Macedonia,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education - vocational/professional,Malta,35.0,46.0,74.0,83.0,69.0,95.0,84.0
From 40 to 44 years,Females,Short-cycle tertiary education - vocational/professional,Netherlands,1108.0,1301.0,138.0,186.0,247.0,298.0,378.0
From 40 to 44 years,Females,Short-cycle tertiary education - vocational/professional,Norway,37.0,39.0,35.0,50.0,73.0,82.0,104.0
From 40 to 44 years,Females,Short-cycle tertiary education - vocational/professional,Poland,19.0,18.0,22.0,20.0,18.0,41.0,91.0
From 40 to 44 years,Females,Short-cycle tertiary education - vocational/professional,Portugal,42.0,61.0,82.0,91.0,93.0,118.0,134.0
From 40 to 44 years,Females,Short-cycle tertiary education - vocational/professional,Romania,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education - vocational/professional,Serbia,,,,,,,
From 40 to 44 years,Females,Short-cycle tertiary education - vocational/professional,Sweden,801.0,861.0,952.0,1014.0,1215.0,1401.0,1491.0
From 40 to 44 years,Females,Short-cycle tertiary education - vocational/professional,Slovenia,114.0,130.0,127.0,174.0,202.0,204.0,231.0
From 40 to 44 years,Females,Short-cycle tertiary education - vocational/professional,Slovakia,61.0,80.0,96.0,110.0,138.0,152.0,107.0
From 40 to 44 years,Females,Short-cycle tertiary education - vocational/professional,Turkey,34877.0,41449.0,53232.0,64591.0,77259.0,85785.0,94611.0
From 40 to 44 years,Females,Short-cycle tertiary education - vocational/professional,United Kingdom,5739.0,7104.0,7367.0,9312.0,,,
From 40 to 44 years,Females,Bachelor's or equivalent level,Albania,,,,,,,
From 40 to 44 years,Females,Bachelor's or equivalent level,Austria,1856.0,1785.0,1731.0,1678.0,1726.0,1897.0,1943.0
From 40 to 44 years,Females,Bachelor's or equivalent level,Bosnia and Herzegovina,,,526.0,529.0,517.0,514.0,559.0
From 40 to 44 years,Females,Bachelor's or equivalent level,Belgium,1835.0,1910.0,1828.0,1836.0,1697.0,2066.0,2146.0
From 40 to 44 years,Females,Bachelor's or equivalent level,Bulgaria,2342.0,2711.0,2807.0,2825.0,2862.0,3040.0,3208.0
From 40 to 44 years,Females,Bachelor's or equivalent level,Switzerland,2289.0,2324.0,2420.0,2528.0,2601.0,2774.0,2940.0
From 40 to 44 years,Females,Bachelor's or equivalent level,Cyprus,244.0,261.0,297.0,263.0,260.0,305.0,261.0
From 40 to 44 years,Females,Bachelor's or equivalent level,Czechia,4353.0,4084.0,3995.0,3742.0,3807.0,3623.0,3599.0
From 40 to 44 years,Females,Bachelor's or equivalent level,Germany,12361.0,12925.0,13853.0,17270.0,18702.0,21503.0,23161.0
From 40 to 44 years,Females,Bachelor's or equivalent level,Denmark,5479.0,5512.0,5266.0,5068.0,4880.0,4242.0,4395.0
From 40 to 44 years,Females,Bachelor's or equivalent level,Estonia,697.0,676.0,676.0,692.0,731.0,737.0,688.0
From 40 to 44 years,Females,Bachelor's or equivalent level,Greece,8768.0,9674.0,9732.0,10743.0,10543.0,11790.0,12651.0
From 40 to 44 years,Females,Bachelor's or equivalent level,Spain,18276.0,18254.0,18217.0,18486.0,18683.0,20329.0,19623.0
From 40 to 44 years,Females,Bachelor's or equivalent level,European Union,119399.0,122712.0,125527.0,132567.0,138141.0,142998.0,153498.0
From 40 to 44 years,Females,Bachelor's or equivalent level,Finland,4415.0,4577.0,4676.0,4763.0,4962.0,5162.0,5466.0
From 40 to 44 years,Females,Bachelor's or equivalent level,France,6791.0,6600.0,8169.0,7816.0,7893.0,7618.0,7664.0
From 40 to 44 years,Females,Bachelor's or equivalent level,Croatia,656.0,626.0,727.0,738.0,772.0,701.0,701.0
From 40 to 44 years,Females,Bachelor's or equivalent level,Hungary,5289.0,4745.0,4630.0,5058.0,5023.0,4968.0,5024.0
From 40 to 44 years,Females,Bachelor's or equivalent level,Ireland,1514.0,1445.0,1333.0,1308.0,1330.0,1462.0,1456.0
From 40 to 44 years,Females,Bachelor's or equivalent level,Iceland,354.0,350.0,325.0,339.0,351.0,440.0,507.0
From 40 to 44 years,Females,Bachelor's or equivalent level,Italy,9288.0,10056.0,11239.0,12066.0,16132.0,13944.0,15189.0
From 40 to 44 years,Females,Bachelor's or equivalent level,Liechtenstein,2.0,3.0,4.0,6.0,4.0,4.0,5.0
From 40 to 44 years,Females,Bachelor's or equivalent level,Lithuania,1009.0,981.0,955.0,1055.0,1082.0,1175.0,1222.0
From 40 to 44 years,Females,Bachelor's or equivalent level,Luxembourg,14.0,14.0,22.0,14.0,15.0,13.0,13.0
From 40 to 44 years,Females,Bachelor's or equivalent level,Latvia,632.0,708.0,722.0,730.0,781.0,828.0,836.0
From 40 to 44 years,Females,Bachelor's or equivalent level,Montenegro,,,102.0,97.0,108.0,114.0,
From 40 to 44 years,Females,Bachelor's or equivalent level,North Macedonia,464.0,476.0,445.0,357.0,407.0,440.0,466.0
From 40 to 44 years,Females,Bachelor's or equivalent level,Malta,53.0,63.0,53.0,80.0,133.0,151.0,169.0
From 40 to 44 years,Females,Bachelor's or equivalent level,Netherlands,5937.0,7146.0,6163.0,7833.0,7293.0,7671.0,6864.0
From 40 to 44 years,Females,Bachelor's or equivalent level,Norway,7425.0,7530.0,7260.0,7050.0,6913.0,6715.0,6793.0
From 40 to 44 years,Females,Bachelor's or equivalent level,Poland,14330.0,15092.0,15663.0,15699.0,15044.0,14641.0,16324.0
From 40 to 44 years,Females,Bachelor's or equivalent level,Portugal,2063.0,1926.0,2024.0,2189.0,2312.0,2549.0,2770.0
From 40 to 44 years,Females,Bachelor's or equivalent level,Romania,,,,,,,5448.0
From 40 to 44 years,Females,Bachelor's or equivalent level,Serbia,1209.0,1097.0,1056.0,1048.0,929.0,989.0,1146.0
From 40 to 44 years,Females,Bachelor's or equivalent level,Sweden,8640.0,8585.0,8638.0,8576.0,9372.0,10179.0,9969.0
From 40 to 44 years,Females,Bachelor's or equivalent level,Slovenia,336.0,356.0,358.0,383.0,380.0,452.0,443.0
From 40 to 44 years,Females,Bachelor's or equivalent level,Slovakia,2220.0,2000.0,1753.0,1656.0,1726.0,1952.0,2266.0
From 40 to 44 years,Females,Bachelor's or equivalent level,Turkey,37820.0,46232.0,54814.0,67204.0,77971.0,90786.0,99145.0
From 40 to 44 years,Females,Bachelor's or equivalent level,United Kingdom,18788.0,18351.0,17968.0,20135.0,,,
From 40 to 44 years,Females,Bachelor's or equivalent level - academic,Albania,,,,,,,
From 40 to 44 years,Females,Bachelor's or equivalent level - academic,Austria,,,,1678.0,1726.0,1897.0,1943.0
From 40 to 44 years,Females,Bachelor's or equivalent level - academic,Bosnia and Herzegovina,,,,,,,
From 40 to 44 years,Females,Bachelor's or equivalent level - academic,Belgium,140.0,167.0,164.0,181.0,163.0,194.0,179.0
From 40 to 44 years,Females,Bachelor's or equivalent level - academic,Bulgaria,,,,,,,
From 40 to 44 years,Females,Bachelor's or equivalent level - academic,Switzerland,1389.0,1453.0,1469.0,1540.0,1551.0,1627.0,1802.0
From 40 to 44 years,Females,Bachelor's or equivalent level - academic,Cyprus,,,,,,,
From 40 to 44 years,Females,Bachelor's or equivalent level - academic,Czechia,3525.0,3299.0,3226.0,2965.0,3060.0,2841.0,2786.0
From 40 to 44 years,Females,Bachelor's or equivalent level - academic,Germany,9478.0,10114.0,10843.0,11749.0,13020.0,14825.0,16266.0
From 40 to 44 years,Females,Bachelor's or equivalent level - academic,Denmark,335.0,332.0,312.0,312.0,291.0,267.0,229.0
From 40 to 44 years,Females,Bachelor's or equivalent level - academic,Estonia,,,,,,,
From 40 to 44 years,Females,Bachelor's or equivalent level - academic,Greece,6397.0,7409.0,7261.0,8826.0,8796.0,9644.0,9791.0
From 40 to 44 years,Females,Bachelor's or equivalent level - academic,Spain,,,,,,,
From 40 to 44 years,Females,Bachelor's or equivalent level - academic,Finland,,,,,,,
From 40 to 44 years,Females,Bachelor's or equivalent level - academic,France,2752.0,2591.0,2518.0,2295.0,2286.0,2411.0,2433.0
From 40 to 44 years,Females,Bachelor's or equivalent level - academic,Croatia,150.0,158.0,219.0,203.0,225.0,201.0,222.0
From 40 to 44 years,Females,Bachelor's or equivalent level - academic,Hungary,,,,,,,
From 40 to 44 years,Females,Bachelor's or equivalent level - academic,Ireland,,,,,,,
From 40 to 44 years,Females,Bachelor's or equivalent level - academic,Iceland,,,,,,,
From 40 to 44 years,Females,Bachelor's or equivalent level - academic,Italy,,,,,,,
From 40 to 44 years,Females,Bachelor's or equivalent level - academic,Liechtenstein,2.0,3.0,4.0,6.0,4.0,4.0,5.0
From 40 to 44 years,Females,Bachelor's or equivalent level - academic,Lithuania,464.0,431.0,418.0,407.0,379.0,387.0,373.0
From 40 to 44 years,Females,Bachelor's or equivalent level - academic,Luxembourg,5.0,3.0,6.0,2.0,5.0,7.0,8.0
From 40 to 44 years,Females,Bachelor's or equivalent level - academic,Latvia,110.0,115.0,126.0,130.0,159.0,212.0,262.0
From 40 to 44 years,Females,Bachelor's or equivalent level - academic,Montenegro,,,80.0,76.0,89.0,88.0,
From 40 to 44 years,Females,Bachelor's or equivalent level - academic,North Macedonia,370.0,457.0,324.0,222.0,291.0,378.0,355.0
From 40 to 44 years,Females,Bachelor's or equivalent level - academic,Malta,,,,,,110.0,109.0
From 40 to 44 years,Females,Bachelor's or equivalent level - academic,Netherlands,,,,2589.0,1855.0,1871.0,1676.0
From 40 to 44 years,Females,Bachelor's or equivalent level - academic,Norway,7425.0,7530.0,7260.0,7050.0,6913.0,6715.0,6793.0
From 40 to 44 years,Females,Bachelor's or equivalent level - academic,Poland,,,,,10361.0,7751.0,8316.0
From 40 to 44 years,Females,Bachelor's or equivalent level - academic,Portugal,,,,,,,
From 40 to 44 years,Females,Bachelor's or equivalent level - academic,Romania,,,,,,,
From 40 to 44 years,Females,Bachelor's or equivalent level - academic,Serbia,558.0,526.0,493.0,469.0,478.0,482.0,531.0
From 40 to 44 years,Females,Bachelor's or equivalent level - academic,Sweden,,,,,,,
From 40 to 44 years,Females,Bachelor's or equivalent level - academic,Slovenia,48.0,71.0,55.0,60.0,46.0,55.0,52.0
From 40 to 44 years,Females,Bachelor's or equivalent level - academic,Slovakia,,,,,,,
From 40 to 44 years,Females,Bachelor's or equivalent level - academic,Turkey,,,,,,,
From 40 to 44 years,Females,Bachelor's or equivalent level - academic,United Kingdom,18788.0,18351.0,17968.0,20135.0,,,
From 40 to 44 years,Females,Bachelor's or equivalent level - professional,Albania,,,,,,,
From 40 to 44 years,Females,Bachelor's or equivalent level - professional,Austria,,,,,,,
From 40 to 44 years,Females,Bachelor's or equivalent level - professional,Bosnia and Herzegovina,,,,,,,
From 40 to 44 years,Females,Bachelor's or equivalent level - professional,Belgium,1695.0,1743.0,1664.0,1655.0,1534.0,1872.0,1967.0
From 40 to 44 years,Females,Bachelor's or equivalent level - professional,Bulgaria,236.0,226.0,186.0,215.0,210.0,249.0,262.0
From 40 to 44 years,Females,Bachelor's or equivalent level - professional,Switzerland,900.0,871.0,951.0,988.0,1050.0,1147.0,1138.0
From 40 to 44 years,Females,Bachelor's or equivalent level - professional,Cyprus,,,,,,,
From 40 to 44 years,Females,Bachelor's or equivalent level - professional,Czechia,828.0,785.0,769.0,777.0,747.0,782.0,813.0
From 40 to 44 years,Females,Bachelor's or equivalent level - professional,Germany,2883.0,2811.0,3010.0,5521.0,5682.0,6678.0,6895.0
From 40 to 44 years,Females,Bachelor's or equivalent level - professional,Denmark,5144.0,5180.0,4954.0,4756.0,4589.0,3975.0,4166.0
From 40 to 44 years,Females,Bachelor's or equivalent level - professional,Estonia,,,,,,,
From 40 to 44 years,Females,Bachelor's or equivalent level - professional,Greece,2371.0,2265.0,2471.0,1917.0,1747.0,2146.0,2860.0
From 40 to 44 years,Females,Bachelor's or equivalent level - professional,Spain,,,,,,,
From 40 to 44 years,Females,Bachelor's or equivalent level - professional,Finland,,,,,,,
From 40 to 44 years,Females,Bachelor's or equivalent level - professional,France,4040.0,4009.0,5651.0,5521.0,5603.0,5203.0,5230.0
From 40 to 44 years,Females,Bachelor's or equivalent level - professional,Croatia,506.0,468.0,508.0,535.0,547.0,500.0,479.0
From 40 to 44 years,Females,Bachelor's or equivalent level - professional,Hungary,,,,,,,
From 40 to 44 years,Females,Bachelor's or equivalent level - professional,Ireland,,,,,,,
From 40 to 44 years,Females,Bachelor's or equivalent level - professional,Iceland,,,,,,,
From 40 to 44 years,Females,Bachelor's or equivalent level - professional,Italy,,,,,,,
